Month,Product,Optimized Plan quantity,Sale Demand,normalized_quantity
1,Y0M,1726.0,1500,1808
1,YCA,2304.0,3000,2730
1,YHB,3838.0,3928,3724
1,YJC,3088.0,3000,2614
1,YNC,3495.0,2868,2959
1,YSD,2644.0,2213,2185
2,Y0M,1606.0,1800,1683
2,YCA,2144.0,2100,2541
2,YHB,3354.0,3583,3466
2,YJC,2730.0,2700,2433
2,YNC,3442.0,2828,2754
2,YSD,2238.0,2174,2034
3,Y0M,1726.0,2000,1808
3,YCA,2304.0,2900,2730
3,YHB,3399.0,3402,3724
3,YJC,3214.0,1960,2614
3,YNC,3051.0,2976,2959
3,YSD,2530.0,2017,2185
4,Y0M,1663.0,2300,1936
4,YCA,2224.0,3200,3077
4,YHB,3311.0,3693,2660
4,YJC,3187.0,2067,2550
4,YNC,2785.0,2806,2895
4,YSD,2949.0,2203,2365
5,Y0M,1567.0,1500,1867
5,YCA,2144.0,3200,2967
5,YHB,2858.0,2000,2564
5,YJC,3073.0,3000,2459
5,YNC,2395.0,2724,2791
5,YSD,2850.0,2698,2280
6,Y0M,1543.0,1800,1797
6,YCA,2064.0,2500,2856
6,YHB,2837.0,2000,2469
6,YJC,2958.0,2309,2367
6,YNC,2947.0,2842,2687
6,YSD,2343.0,1939,2195
7,Y0M,1647.0,1500,1518
7,YCA,2224.0,2400,2530
7,YHB,4079.0,2500,3628
7,YJC,2794.0,1500,2422
7,YNC,3672.0,3000,3244
7,YSD,2181.0,2652,2505
8,Y0M,1645.0,1500,1518
8,YCA,2224.0,2800,2530
8,YHB,3360.0,3255,3628
8,YJC,3015.0,3000,2422
8,YNC,2871.0,4000,3244
8,YSD,2751.0,2119,2505
9,Y0M,1558.0,1500,1464
9,YCA,2144.0,2300,2439
9,YHB,3061.0,5000,3498
9,YJC,2820.0,2680,2335
9,YNC,2950.0,2615,3127
9,YSD,2461.0,2655,2415
10,Y0M,1265.0,1000,1012
10,YCA,2227.0,2500,2598
10,YHB,3276.0,3087,3281
10,YJC,1449.0,2900,2717
10,YNC,2985.0,2803,2710
10,YSD,1374.0,1923,2092
11,Y0M,1233.0,1000,1012
11,YCA,2224.0,2500,2598
11,YHB,2958.0,3500,3281
11,YJC,924.0,3200,2717
11,YNC,2773.0,2727,2710
11,YSD,1648.0,1958,2092
12,Y0M,1220.0,1000,976
12,YCA,2150.0,2700,2505
12,YHB,2755.0,3138,3163
12,YJC,1018.0,1955,2620
12,YNC,1327.0,2503,2613
12,YSD,901.0,2319,2017
